pop,geno,year,BLUP,genotype_year,real
Dic2 x Lloyd,BX07.2.1f1.34.2,2012,-0.141513968840105,BX07.2.1f1.34.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.35.1,2012,-0.134451177125149,BX07.2.1f1.35.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.35.2,2012,0.5945209215112,BX07.2.1f1.35.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.36.1,2012,0.32817924028448,BX07.2.1f1.36.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.36.2,2012,-1.92165905425287,BX07.2.1f1.36.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.37.1,2012,0.802270194625062,BX07.2.1f1.37.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.37.2,2012,0.36047718909248,BX07.2.1f1.37.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.38.1,2012,0.224145349895732,BX07.2.1f1.38.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.38.2,2012,-0.13907875184214,BX07.2.1f1.38.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.39.1,2012,-0.0706360136206596,BX07.2.1f1.39.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.39.2,2012,0.218290823851494,BX07.2.1f1.39.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.4.1,2012,0.302851991387027,BX07.2.1f1.4.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.4.2,2012,1.03572626216398,BX07.2.1f1.4.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.40.1,2012,-0.441568296446689,BX07.2.1f1.40.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.40.2,2012,0.513962320729465,BX07.2.1f1.40.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.41.2,2012,0.781146533808784,BX07.2.1f1.41.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.42.1,2012,-0.518632133132509,BX07.2.1f1.42.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.42.2,2012,0.375428556834371,BX07.2.1f1.42.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.43.1,2012,0.185754372665903,BX07.2.1f1.43.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.43.2,2012,-1.27934224240696,BX07.2.1f1.43.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.44.1,2012,0.0652087590561128,BX07.2.1f1.44.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.44.2,2012,0.277109956089474,BX07.2.1f1.44.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.45.1,2012,0.311842539927567,BX07.2.1f1.45.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.45.2,2012,0.226788969269944,BX07.2.1f1.45.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.46.2,2012,-0.897006315722823,BX07.2.1f1.46.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.47.1,2012,-0.481119660391151,BX07.2.1f1.47.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.47.2,2012,-0.158052344540614,BX07.2.1f1.47.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.48.1,2012,0.528573265719591,BX07.2.1f1.48.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.48.2,2012,0.530019524642495,BX07.2.1f1.48.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.49.1,2012,0.55775949048222,BX07.2.1f1.49.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.49.2,2012,0.456513192518462,BX07.2.1f1.49.2_2012,TRUE
