pop,geno,BLUP,year,genotype_year,real
Dic2 x Lloyd,BX07.2.1f1.32.2,5.29171860011715,2015,BX07.2.1f1.32.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.33.1,-1.43221506822271,2015,BX07.2.1f1.33.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.33.2,3.94175428523207,2015,BX07.2.1f1.33.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.34.1,3.3829377573172,2015,BX07.2.1f1.34.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.34.2,-1.29721171613871,2015,BX07.2.1f1.34.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.35.1,1.59129063137928,2015,BX07.2.1f1.35.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.35.2,2.55759725585789,2015,BX07.2.1f1.35.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.36.1,-2.74367834989829,2015,BX07.2.1f1.36.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.36.2,2.85598382874162,2015,BX07.2.1f1.36.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.37.1,-5.23216267305033,2015,BX07.2.1f1.37.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.37.2,-0.932591651172005,2015,BX07.2.1f1.37.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.38.1,-0.241824239413498,2015,BX07.2.1f1.38.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.38.2,-2.49748997927377,2015,BX07.2.1f1.38.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.39.1,2.18363063986563,2015,BX07.2.1f1.39.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.39.2,-4.3648276920142,2015,BX07.2.1f1.39.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.4.1,0.514111731146652,2015,BX07.2.1f1.4.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.4.2,-1.87619577119762,2015,BX07.2.1f1.4.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.40.1,-0.7222637119674,2015,BX07.2.1f1.40.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.41.2,2.97832664382283,2015,BX07.2.1f1.41.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.42.1,-1.9467838070851,2015,BX07.2.1f1.42.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.42.2,1.01259993361283,2015,BX07.2.1f1.42.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.43.1,1.47486292416566,2015,BX07.2.1f1.43.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.43.2,-6.94720137621669,2015,BX07.2.1f1.43.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.44.2,1.14712471230275,2015,BX07.2.1f1.44.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.45.1,0.704725200403763,2015,BX07.2.1f1.45.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.45.2,0.317647651082983,2015,BX07.2.1f1.45.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.46.1,-0.877046546577681,2015,BX07.2.1f1.46.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.46.2,1.52191828436452,2015,BX07.2.1f1.46.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.47.1,-3.78257168120871,2015,BX07.2.1f1.47.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.47.2,-2.44990125521405,2015,BX07.2.1f1.47.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.48.1,1.73176417835909,2015,BX07.2.1f1.48.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.48.2,3.59471260000389,2015,BX07.2.1f1.48.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.49.1,-4.54890214008912,2015,BX07.2.1f1.49.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.49.2,-5.90003436042591,2015,BX07.2.1f1.49.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.5.1,1.47942641577813,2015,BX07.2.1f1.5.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.5.2,-1.28147308439633,2015,BX07.2.1f1.5.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.50.1,2.86774022292914,2015,BX07.2.1f1.50.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.50.2,-3.14374730731987,2015,BX07.2.1f1.50.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.6.1,-6.34795763489635,2015,BX07.2.1f1.6.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.6.2,-0.800199572896227,2015,BX07.2.1f1.6.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.7.1,2.94131065063465,2015,BX07.2.1f1.7.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.7.2,2.54111438352141,2015,BX07.2.1f1.7.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.8.1,-2.14537129877618,2015,BX07.2.1f1.8.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.8.2,1.8378705620839,2015,BX07.2.1f1.8.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.9.1,-5.46183380487011,2015,BX07.2.1f1.9.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.9.2,1.58134977211601,2015,BX07.2.1f1.9.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.1,0.718919064368047,2015,BX07.2.1f2.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.10,2.3248126554044,2015,BX07.2.1f2.10_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.11,2.72929770916925,2015,BX07.2.1f2.11_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.12,4.22437785029052,2015,BX07.2.1f2.12_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.13,-1.87604058045831,2015,BX07.2.1f2.13_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.14,1.36170964110748,2015,BX07.2.1f2.14_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.15,-2.74624823396919,2015,BX07.2.1f2.15_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.16,-2.11168310122405,2015,BX07.2.1f2.16_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.17,2.46118108572317,2015,BX07.2.1f2.17_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.18,2.51190624368226,2015,BX07.2.1f2.18_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.19,0.0363293226721106,2015,BX07.2.1f2.19_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.2,4.20484471915231,2015,BX07.2.1f2.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.20,3.97583974250257,2015,BX07.2.1f2.20_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.21,2.72882980203561,2015,BX07.2.1f2.21_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.25,6.00306889914955,2015,BX07.2.1f2.25_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.26,1.2648110391258,2015,BX07.2.1f2.26_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.27,1.57838615528266,2015,BX07.2.1f2.27_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.28,1.36650598084223,2015,BX07.2.1f2.28_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.29,2.51843980468931,2015,BX07.2.1f2.29_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.3,-4.65949889610587,2015,BX07.2.1f2.3_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.30,-5.41027027913439,2015,BX07.2.1f2.30_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.31,5.08283001322333,2015,BX07.2.1f2.31_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.34,1.02848658940773,2015,BX07.2.1f2.34_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.35,-0.350374693291892,2015,BX07.2.1f2.35_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.36,2.06501111170278,2015,BX07.2.1f2.36_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.37,-0.773983989536363,2015,BX07.2.1f2.37_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.38,0.174572048273168,2015,BX07.2.1f2.38_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.39,4.62553689573269,2015,BX07.2.1f2.39_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.4,-3.34319153212551,2015,BX07.2.1f2.4_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.40,1.12025469329935,2015,BX07.2.1f2.40_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.41,3.60042743907455,2015,BX07.2.1f2.41_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.42,3.52494430755265,2015,BX07.2.1f2.42_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.43,1.05044294139055,2015,BX07.2.1f2.43_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.44,-1.15898806032066,2015,BX07.2.1f2.44_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.45,-6.32274195054294,2015,BX07.2.1f2.45_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.46,-0.420947690082905,2015,BX07.2.1f2.46_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.47,3.33646380654214,2015,BX07.2.1f2.47_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.48,-1.45864745625074,2015,BX07.2.1f2.48_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.49,4.9188429248273,2015,BX07.2.1f2.49_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.5,-2.9197114932463,2015,BX07.2.1f2.5_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.50,0.940996771994801,2015,BX07.2.1f2.50_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.51,4.76448314406113,2015,BX07.2.1f2.51_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.52,0.95773650869412,2015,BX07.2.1f2.52_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.53,-0.843513831311458,2015,BX07.2.1f2.53_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.54,0.454697173179678,2015,BX07.2.1f2.54_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.55,-2.34669797103234,2015,BX07.2.1f2.55_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.56,1.70801214621715,2015,BX07.2.1f2.56_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.57,-1.46559605205068,2015,BX07.2.1f2.57_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.58,3.62318230792395,2015,BX07.2.1f2.58_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.59,3.12388896632363,2015,BX07.2.1f2.59_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.6,3.08877395834484,2015,BX07.2.1f2.6_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.60,-1.38986105176535,2015,BX07.2.1f2.60_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.61,0.0916049901460836,2015,BX07.2.1f2.61_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.62,1.17791815408039,2015,BX07.2.1f2.62_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.63,-0.780152988481145,2015,BX07.2.1f2.63_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.64,1.26730333225038,2015,BX07.2.1f2.64_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.65,-1.05696599495774,2015,BX07.2.1f2.65_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.66,1.10578545159552,2015,BX07.2.1f2.66_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.67,2.63407033068245,2015,BX07.2.1f2.67_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.68,-5.54405187363115,2015,BX07.2.1f2.68_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.69,-1.07619979764349,2015,BX07.2.1f2.69_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.7,-2.80908233327925,2015,BX07.2.1f2.7_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.70,5.11411259271917,2015,BX07.2.1f2.70_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.71,4.83334213469692,2015,BX07.2.1f2.71_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.72,3.39535145904464,2015,BX07.2.1f2.72_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.73,5.57375038189715,2015,BX07.2.1f2.73_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.74,4.29481294305499,2015,BX07.2.1f2.74_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.75,-4.0691817702878,2015,BX07.2.1f2.75_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.76,3.1755704898194,2015,BX07.2.1f2.76_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.77,1.02115175762447,2015,BX07.2.1f2.77_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.78,3.13436463542582,2015,BX07.2.1f2.78_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.79,0.590363970501097,2015,BX07.2.1f2.79_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.8,1.22488168957942,2015,BX07.2.1f2.8_2015,TRUE
